1,2
"(32.745101, -117.1219873)","(42.19899789999999, -71.1641868)"
"(32.745101, -117.1219873)","(44.9735492, -93.2627456)"
"(32.745101, -117.1219873)","(32.7392534, -117.1254281)"
"(32.745101, -117.1219873)","(32.7376527, -117.1612546)"
"(27.0684366, -82.40983059999999)","(32.6982355, -117.0310044)"
"(27.0684366, -82.40983059999999)","(32.6912103, -117.0399716)"
"(27.0684366, -82.40983059999999)","(32.6835774, -117.0396726)"
"(28.3432323, -81.63650860000001)","(32.5678881, -116.9804498)"
"(28.3432323, -81.63650860000001)","(39.7707476, -84.1199144)"
"(41.1115472, -73.85838059999999)","(27.9076738, -82.8393152)"
"(41.1115472, -73.85838059999999)","(32.7219608, -117.1709678)"
"(41.1115472, -73.85838059999999)","(32.7270983, -117.1707063)"
"(41.1115472, -73.85838059999999)","(32.7293253, -117.1707282)"
"(41.1115472, -73.85838059999999)","(20.8758958, -156.6803293)"
"(41.1115472, -73.85838059999999)","(40.763368, -73.95924)"
"(41.1115472, -73.85838059999999)","(40.6481094, -74.0107685)"
"(41.1115472, -73.85838059999999)","(40.7314123, -73.99698479999999)"
"(41.1115472, -73.85838059999999)","(40.754921, -73.9989038)"
"(41.1115472, -73.85838059999999)","(40.7449987, -74.0084016)"
"(41.1115472, -73.85838059999999)","(37.8059872, -122.22551)"
"(41.1115472, -73.85838059999999)","(37.7655641, -122.4114895)"
"(41.1115472, -73.85838059999999)","(40.7849921, -122.3083332)"
"(41.1115472, -73.85838059999999)","(37.7509423, -122.4133835)"
"(41.1115472, -73.85838059999999)","(40.029928, -105.2585026)"
"(41.1115472, -73.85838059999999)","(40.7554084, -73.9318155)"
"(41.1115472, -73.85838059999999)","(32.7124853, -117.070828)"
0,0
"(39.7168747, -104.9877629)","(47.6343548, -122.3211988)"
"(32.6982355, -117.0310044)","(27.0684366, -82.40983059999999)"
"(32.7683932, -117.2009616)","(32.7942808, -117.2072706)"
"(32.787123, -117.1910475)","(32.8108193, -117.2009254)"
"(32.787123, -117.1910475)","(42.367146, -83.0133037)"
"(32.9016696, -117.1117144)","(32.8900452, -117.1990907)"
"(0.18636, 6.613080999999999)","(20.8758958, -156.6803293)"
"(0.18636, 6.613080999999999)","(40.76921230000001, -73.9847724)"
"(0.18636, 6.613080999999999)","(40.754921, -73.9989038)"
"(0.18636, 6.613080999999999)","(40.7449987, -74.0084016)"
"(0.18636, 6.613080999999999)","(37.8059872, -122.22551)"
"(0.18636, 6.613080999999999)","(37.7655641, -122.4114895)"
"(0.18636, 6.613080999999999)","(40.7849921, -122.3083332)"
"(0.18636, 6.613080999999999)","(37.7509423, -122.4133835)"
"(34.1263185, -118.2278376)","(40.7554084, -73.9318155)"
"(51.5111125, -0.0552979)","(32.7519772, -117.2345834)"
"(51.5111125, -0.0552979)","(32.7441429, -117.2350978)"
"(51.5111125, -0.0552979)","(32.7431327, -117.2449981)"
0,0
"(36.13607750000001, -86.8937235)","(32.8944505, -117.1462611)"
"(32.7039353, -117.2490753)","(36.637233, -82.6665705)"
"(32.5584132, -116.9884436)","(32.5678881, -116.9804498)"
"(32.5584132, -116.9884436)","(32.5667282, -116.9939698)"
"(32.5584132, -116.9884436)","(39.7707476, -84.1199144)"
"(43.8052416, -88.79061109999999)","(32.9055808, -117.2435997)"
"(32.92759400000001, -117.1623621)","(32.8983087, -117.1706981)"
"(32.92759400000001, -117.1623621)","(32.9271688, -117.1552686)"
"(32.9518457, -117.1154837)","(32.953882, -117.1207364)"
"(32.5508365, -117.0454967)","(37.6780257, -122.1221002)"
"(32.5508365, -117.0454967)","(32.5502291, -117.046062)"
"(32.545274, -117.044909)","(37.4657813, -122.1571661)"
0,0
"(32.7681203, -117.1537622)","(32.760649, -117.183929)"
"(32.7681203, -117.1537622)","(27.3178199, -80.3211858)"
"(32.7681203, -117.1537622)","(32.7653246, -117.160398)"
"(32.7681203, -117.1537622)","(32.7756139, -117.1540524)"
"(38.5078821, -123.0278557)","(32.7681203, -117.1537622)"
"(32.7718244, -117.1444861)","(32.7681203, -117.1537622)"
"(33.0046055, -117.0920443)","(33.010229, -117.1115729)"
"(33.0046055, -117.0920443)","(33.0109645, -117.0855235)"
"(33.0046055, -117.0920443)","(32.9979597, -117.0889956)"
"(33.0046055, -117.0920443)","(34.6222353, -117.2346253)"
"(33.0046055, -117.0920443)","(32.9630893, -117.1307777)"
0,0
"(32.773866, -117.1312841)","(32.7756139, -117.1540524)"
"(32.773866, -117.1312841)","(37.0518773, -88.0529048)"
"(32.773866, -117.1312841)","(32.7733055, -117.1403524)"
"(32.773866, -117.1312841)","(32.7767802, -117.1256987)"
"(32.773866, -117.1312841)","(43.0523695, -78.8927417)"
"(32.7713532, -117.1295335)","(37.072449, -110.0313596)"
"(32.7713532, -117.1295335)","(32.7643147, -117.1542497)"
"(32.7713532, -117.1295335)","(32.755521, -117.1388501)"
"(32.7713532, -117.1295335)","(32.7339276, -117.1129323)"
"(32.7713532, -117.1295335)","(34.6222353, -117.2346253)"
"(33.4211018, -112.3518105)","(40.7849921, -122.3083332)"
"(33.4211018, -112.3518105)","(32.7539478, -117.2065397)"
"(32.9772032, -117.1472087)","(32.959894, -117.1608347)"
"(32.9772032, -117.1472087)","(22.0527787, -159.3329733)"
"(32.9772032, -117.1472087)","(36.5341226, -121.8510037)"
"(34.2117922, -119.0007412)","(32.92759400000001, -117.1623621)"
0,0
"(34.2117922, -119.0007412)","(32.9252514, -117.1461071)"
"(34.2117922, -119.0007412)","(32.9250008, -117.1309776)"
"(34.2117922, -119.0007412)","(32.9178866, -117.1409502)"
"(34.2117922, -119.0007412)","(32.909373, -117.1602998)"
"(34.2117922, -119.0007412)","(32.9057264, -117.1359092)"
"(32.8983087, -117.1706981)","(32.9104282, -117.2011179)"
"(32.8983087, -117.1706981)","(32.909373, -117.1602998)"
"(32.8983087, -117.1706981)","(32.8890346, -117.1592387)"
"(32.8983087, -117.1706981)","(39.1649091, -76.6114339)"
"(32.8983087, -117.1706981)","(40.7026485, -74.278246)"
"(32.7699714, -117.0719063)","(32.77572170000001, -117.0718893)"
"(32.7699714, -117.0719063)","(32.7707732, -117.0769362)"
"(32.8893943, -117.2251581)","(35.7478769, -95.3696909)"
"(32.8857884, -117.2212144)","(32.8406331, -117.1970729)"
"(32.7246492, -117.2364626)","(37.7878035, -122.4386921)"
"(44.5097628, -92.8993751)","(32.7263225, -117.227755)"
"(44.5097628, -92.8993751)","(39.9480108, -75.1628679)"
"(44.5097628, -92.8993751)","(32.7346243, -117.2237078)"
"(44.5097628, -92.8993751)","(32.7320556, -117.2479171)"
"(44.5097628, -92.8993751)","(32.724268, -117.239273)"
"(44.5097628, -92.8993751)","(32.7214587, -117.2392517)"
"(32.9250008, -117.1309776)","(34.2117922, -119.0007412)"
"(32.9250008, -117.1309776)","(32.9182202, -117.135689)"
"(32.9250008, -117.1309776)","(32.9258021, -117.1303633)"
"(32.9250008, -117.1309776)","(32.9390205, -117.1284305)"
"(32.822121, -117.249023)","(32.8323323, -117.2648349)"
"(32.822121, -117.249023)","(32.8322942, -117.2462346)"
"(32.71231480000001, -117.0244058)","(42.766818, -84.428837)"
"(32.71231480000001, -117.0244058)","(32.7663436, -116.9278589)"
"(32.71231480000001, -117.0244058)","(25.7136895, -80.2654803)"
"(41.79943900000001, -73.890396)","(32.8406331, -117.1970729)"
"(42.243945, -71.79767100000001)","(32.8641526, -117.2140271)"
"(32.9504142, -117.2130232)","(32.9562322, -117.2266166)"
"(32.9504142, -117.2130232)","(36.5497942, -121.9044123)"
"(32.9420719, -117.2129745)","(32.9562322, -117.2266166)"
"(32.9420719, -117.2129745)","(32.95051180000001, -117.2322296)"
"(32.9420719, -117.2129745)","(32.9373845, -117.2292627)"
"(32.9420719, -117.2129745)","(32.9504142, -117.2130232)"
"(32.9373845, -117.2292627)","(32.9479406, -117.2253242)"
"(32.9373845, -117.2292627)","(32.9420719, -117.2129745)"
"(32.9373845, -117.2292627)","(32.9422541, -117.2306842)"
"(32.9422541, -117.2306842)","(32.9411632, -117.2328965)"
"(36.5497942, -121.9044123)","(32.9504142, -117.2130232)"
"(32.9630893, -117.1307777)","(32.9050825, -117.2268099)"
"(32.9630893, -117.1307777)","(32.9031612, -117.2219081)"
"(32.9630893, -117.1307777)","(33.4397909, -112.5558356)"
"(32.9630893, -117.1307777)","(32.9579986, -117.1297832)"
"(32.9630893, -117.1307777)","(33.2758351, -111.7007056)"
"(32.9630893, -117.1307777)","(32.9390205, -117.1284305)"
"(32.9630893, -117.1307777)","(32.9678885, -117.1161668)"
"(32.9630893, -117.1307777)","(32.9617607, -117.1195708)"
"(32.9630893, -117.1307777)","(32.9541595, -117.1087481)"
"(32.9630893, -117.1307777)","(32.9842479, -117.091721)"
"(32.9630893, -117.1307777)","(34.6222353, -117.2346253)"
"(32.9630893, -117.1307777)","(32.9762841, -117.0835653)"
"(32.9630893, -117.1307777)","(38.7768799, -122.9468435)"
"(36.5341226, -121.8510037)","(32.9389851, -117.2574596)"
"(36.5341226, -121.8510037)","(32.9378355, -117.2567592)"
"(36.5341226, -121.8510037)","(32.9363673, -117.2548271)"
"(36.5341226, -121.8510037)","(32.9050825, -117.2268099)"
"(36.5341226, -121.8510037)","(40.7849921, -122.3083332)"
"(37.768141, -122.4455479)","(32.9420719, -117.2129745)"
"(36.5341226, -121.8510037)","(32.9750466, -117.1789177)"
