Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
ASH ST,5TH AVE,6TH AVE,"(32.719898, -117.1601885)","(32.719898, -117.1601885)",10000,10000,11800,11800,11800
ASH ST,6TH AVE,10TH AVE,"(32.7199041, -117.1593048)","(32.7199041, -117.1593048)",9500,9300,10100,10100,11800
ASHFORD ST,ECKSTROM AVE,BEAGLE ST,"(32.8201926, -117.1638124)","(32.8201926, -117.1638124)",6800,5200,5200,8100,8100
ASHFORD ST,BEAGLE ST,BALTIC ST,"(32.807747, -117.1599389)","(32.807747, -117.1599389)",5900,5900,5900,5700,5500
ASHFORD ST,BALTIC ST,MESA COLLEGE DR,"(32.8057374, -117.1599546)","(32.8057374, -117.1599546)",5700,5700,5700,5700,5700
AUBURNDALE ST,MT AGUILAR DR,MARLESTA DR,"(32.8168767, -117.1705977)","(32.8168767, -117.1705977)",2500,2500,2500,2500,3300
AUTO CIR,CAMINO DEL RIO NORTH,INTERSTATE 8,"(32.7669327, -117.153284)","(32.7669327, -117.153284)",30000,27700,27700,31200,27300
AVENIDA DE LA PLAYA,LA JOLLA SHORES DR,CAMINO DEL ORO,"(32.853757, -117.2537957)","(32.853757, -117.2537957)",6800,6800,6800,4600,4600
AVENIDA MAGNIFICA,POMERADO RD,MESA MADERA DR,"(32.9050341, -117.0847517)","(32.9050341, -117.0847517)",5600,5600,5600,5600,5600
AVENIDA MAGNIFICA,MESA MADERA DR,SCRIPPS TRAIL,"(32.9059974, -117.0848664)","(32.9059974, -117.0848664)",5300,5300,5200,5200,5200
AVENIDA MAGNIFICA,SCRIPPS TRAIL,SEMILLON BLVD,"(32.9103961, -117.0814938)","(32.9103961, -117.0814938)",1000,1000,1000,1000,1000
AVENIDA VENUSTO,BERNARDO HEIGHTS PKWY,PASEO LUCIDO,"(33.0074773, -117.0758023)","(33.0074773, -117.0758023)",2700,2700,6500,4100,4100
AVIARY DR,WILLOW CREEK RD,SCRIPPS RANCH BLVD,"(32.8984946, -117.1047403)","(32.8984946, -117.1047403)",3500,3600,3600,3600,3300
AVIARY DR,SCRIPPS RANCH BLVD,RED CEDAR DR,"(32.9043361, -117.1005003)","(32.9043361, -117.1005003)",3700,3700,3700,3700,3700
B ST,3RD AVE,4TH AVE,"(32.7177714, -117.1619939)","(32.7177714, -117.1619939)",8800,8800,8800,7200,7200
B ST,4TH AVE,9TH AVE,"(32.7177856, -117.1610932)","(32.7177856, -117.1610932)",8300,8400,8400,8400,9800
B ST,9TH AVE,10TH AVE,"(32.717811, -117.1565544)","(32.717811, -117.1565544)",14300,14300,14300,14300,14300
B ST,10TH AVE,11TH AVE,"(32.7178211, -117.1556413)","(32.7178211, -117.1556413)",9200,9200,9200,9200,9200
B ST,11TH AVE,PARK BLVD,"(32.7178291, -117.1547362)","(32.7178291, -117.1547362)",10300,10300,10300,10200,10200
B ST,PARK BLVD,16TH ST,"(32.71784, -117.1537019)","(32.71784, -117.1537019)",13300,13300,13300,13300,13300
