Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
MIRA MESA BLVD,PARKDALE AVE,MONTONGO ST,"(32.9106294, -117.15561)","(32.9106294, -117.15561)",48900,48900,44700,50000,46700
MIRA MESA BLVD,MONTONGO ST,REAGAN RD (W),"(32.9120225, -117.1522377)","(32.9120225, -117.1522377)",43600,43600,43600,43600,43600
MIRA MESA BLVD,REAGAN RD (W),CAMINO RUIZ,"(32.9125062, -117.149211)","(32.9125062, -117.149211)",42900,42700,42700,42700,46900
MIRA MESA BLVD,CAMINO RUIZ,REAGAN RD (E),"(32.9126209, -117.1439594)","(32.9126209, -117.1439594)",47000,47000,41400,41400,41400
MIRA MESA BLVD,REAGAN RD (E),WESTONHILL DR,"(32.9125062, -117.149211)","(32.9125062, -117.149211)",50100,50100,50100,50800,50800
MIRA MESA BLVD,WESTONHILL DR,BLACK MOUNTAIN RD,"(32.9127757, -117.1356365)","(32.9127757, -117.1356365)",60200,60600,60600,60600,57800
MIRA MESA BLVD,BLACK MOUNTAIN DR,WESTVIEW PKWY,"(32.917241, -117.1248799)","(32.917241, -117.1248799)",61800,65100,65100,65100,51000
MIRA MESA BLVD,WESTVIEW PKWY,INTERSTATE 15,"(32.9173235, -117.1204832)","(32.9173235, -117.1204832)",72600,76600,76600,76600,76800
MIRA MESA BLVD,INTERSTATE 15,SCRIPPS RANCH BLVD,"(32.9203233, -117.1161154)","(32.9203233, -117.1161154)",40000,37900,37900,37900,37900
MIRAMAR PL,MARINDUSTRY DR,MIRAMAR RD,"(32.8801044, -117.1785066)","(32.8801044, -117.1785066)",5200,5200,4600,4600,4600
MIRAMAR RD,INTERSTATE 805,NOBEL DR,"(32.8719639, -117.1965941)","(32.8719639, -117.1965941)",48100,48100,48100,45600,49400
MIRAMAR RD,NOBEL DR,EASTGATE MALL,"(32.8765436, -117.1911756)","(32.8765436, -117.1911756)",65100,62900,62900,64400,64400
MIRAMAR RD,EASTGATE MALL,COMMERCE AVE,"(32.8767789, -117.186318)","(32.8767789, -117.186318)",58900,61100,61100,61100,51000
MIRAMAR RD,COMMERCE AVE,DISTRIBUTION AVE,"(32.8782143, -117.1683561)","(32.8782143, -117.1683561)",43100,43100,43100,40000,48700
MIRAMAR RD,DISTRIBUTION AVE,CARROLL RD,"(32.8791337, -117.1625181)","(32.8791337, -117.1625181)",39100,39100,39600,39600,39600
MIRAMAR RD,CARROLL RD,CAMINO RUIZ,"(32.8819964, -117.156186)","(32.8819964, -117.156186)",50500,46800,50400,50400,50000
MIRAMAR RD,CAMINO RUIZ,BLACK MOUNTAIN RD,"(32.8935909, -117.1337958)","(32.8935909, -117.1337958)",61900,61900,72100,60300,60200
MIRAMAR RD,BLACK MOUNTAIN RD,INTERSTATE 15,"(32.8937964, -117.1234396)","(32.8937964, -117.1234396)",61000,58900,58900,63000,60100
MIRAMAR WAY,MIRAMAR RD,NEPTUNE BLVD,"(32.8799678, -117.1597055)","(32.8799678, -117.1597055)",13400,13400,13400,13400,13400
MIRAMAR WAY,MITCHNER WAY,KEARNY VILLA RD,"(32.8935703, -117.1301302)","(32.8935703, -117.1301302)",18900,18900,18900,18900,18900
MIRAMAR WAY,KEARNY VILLA RD,INTERSTATE 15,"(32.8938185, -117.1200046)","(32.8938185, -117.1200046)",15400,15100,15100,15000,15000
MISSION BAY DR,BLUFFSIDE AVE,GARNET AVE,"(32.8095434, -117.2196059)","(32.8095434, -117.2196059)",40300,42100,41200,41400,41800
MISSION BAY DR,GARNET AVE,GRAND AVE,"(32.8061675, -117.2189142)","(32.8061675, -117.2189142)",30000,31200,28600,28600,37400
MISSION BAY DR,GRAND AVE,NORTH MISSION BAY DR,"(32.8019111, -117.215335)","(32.8019111, -117.215335)",53200,53200,53200,58300,58300
MISSION BAY DR,NORTH MISSION BAY DR,CLAIREMONT DR,"(32.7980117, -117.2113687)","(32.7980117, -117.2113687)",5300,5300,4700,4700,4700
MISSION BLVD,TURQUOISE ST,LORING ST/LA JOLLA BLVD,"(32.808635, -117.2592677)","(32.808635, -117.2592677)",6600,6600,6600,6300,6100
MISSION BLVD,LORING ST/LA JOLLA BLVD,GARNET AVE,"(32.8050417, -117.2584612)","(32.8050417, -117.2584612)",20000,20000,20000,20400,15000
MISSION BLVD,GARNET AVE,GRAND AVE,"(32.7965613, -117.2554747)","(32.7965613, -117.2554747)",22900,19500,15500,15500,16700
MISSION BLVD,GRAND AVE,PACIFIC BEACH DR,"(32.7946013, -117.254883)","(32.7946013, -117.254883)",18300,18700,14900,11400,19100
MISSION BLVD,PACIFIC BEACH DR,WEST MISSION BAY DR,"(32.7908361, -117.253791)","(32.7908361, -117.253791)",18400,21200,14900,14900,15400
MISSION BLVD,WEST MISSION BAY DR,BAYSIDE LANE,"(32.7719914, -117.2511207)","(32.7719914, -117.2511207)",8600,18500,18500,18500,8100
MISSION CENTER RD,MURRAY RIDGE RD,INTERSTATE 805,"(32.7897829, -117.1448508)","(32.7897829, -117.1448508)",8800,8800,8800,8800,8800
MISSION CENTER RD,INTERSTATE 805,FRIARS RD,"(32.7610726, -117.1637616)","(32.7610726, -117.1637616)",13600,13600,12400,10300,10300
MISSION CENTER RD,FRIARS RD,MISSION CENTER CT,"(32.7779053, -117.1548776)","(32.7779053, -117.1548776)",19000,19000,19000,19300,19300
MISSION CENTER RD,MISSION CENTER CT,HAZARD CENTER DR,"(32.773565, -117.1541069)","(32.773565, -117.1541069)",18800,18800,18900,22000,22000
MISSION CENTER RD,HAZARD CENTER DR,CAMINO DE LA REINA,"(32.7707135, -117.1549169)","(32.7707135, -117.1549169)",29700,27600,27600,27600,26900
MISSION CENTER RD,CAMINO DE LA REINA,CAMINO DEL RIO NORTH,"(32.7680903, -117.1539421)","(32.7680903, -117.1539421)",26700,25100,25100,26400,27400
MISSION CITY PKWY,CAMINO DEL RIO N,CAMINO DEL RIO S,"(32.7767802, -117.1256987)","(32.7767802, -117.1256987)",5100,5100,5100,5100,5100
MISSION GORGE PL,MISSION GORGE RD,ALVARADO CANYON RD,"(32.783196, -117.0983648)","(32.783196, -117.0983648)",2500,2500,2500,2500,3400
MISSION GORGE RD,FAIRMOUNT AVE,TWAIN AVE,"(32.7812987, -117.1013513)","(32.7812987, -117.1013513)",26600,26600,25300,25300,25300
MISSION GORGE RD,TWAIN AVE,FRIARS RD,"(32.7850022, -117.0977572)","(32.7850022, -117.0977572)",19300,19300,17400,17400,17400
MISSION GORGE RD,FRIARS RD,ZION AVE,"(32.7914066, -117.0980755)","(32.7914066, -117.0980755)",42600,42600,41100,41100,41100
MISSION GORGE RD,ZION AVE,PRINCESS VIEW DR,"(32.7929686, -117.0974575)","(32.7929686, -117.0974575)",25500,22000,27300,27300,25900
MISSION GORGE RD,PRINCESS VIEW DR,JACKSON DR,"(32.80669930000001, -117.0789629)","(32.80669930000001, -117.0789629)",17700,15000,20800,19300,17900
MISSION GORGE RD,JACKSON DR,GOLFCREST DR,"(32.8169798, -117.0595935)","(32.8169798, -117.0595935)",10700,11200,10700,10700,10700
MISSION GORGE RD,GOLFCREST DR,FATHER JUNIPERO SERRA TR,"(32.818009, -117.0471055)","(32.818009, -117.0471055)",11000,11000,11000,14000,11900
MISSION VALLEY RD,METROPOLITAN DR,MISSION CENTER RD,"(32.7782184, -117.1570495)","(32.7782184, -117.1570495)",7300,7300,6200,6200,6200
MISSION VILLAGE DR,RUFFIN RD,FRIARS RD,"(32.8018993, -117.1289165)","(32.8018993, -117.1289165)",12600,13100,13100,13100,13100
MITSCHER WAY,MIRAMAR RD,MIRAMAR WAY,"(32.8936453, -117.1309988)","(32.8936453, -117.1309988)",14500,14500,14500,14500,14500
MOBLEY ST,GLENCOLUM DR,GRAMERCY DR,"(32.803706, -117.1350607)","(32.803706, -117.1350607)",2000,2000,1700,1700,1700
MOBLEY ST,GRAMERCY DR,END,"(32.8025709, -117.1351138)","(32.8025709, -117.1351138)",2800,2800,2600,2600,2600
MOCKING BIRD DR,CARDINAL RD,MEADOWLARK DR,"(32.7905707, -117.1574933)","(32.7905707, -117.1574933)",1400,1400,1500,1500,1500
MONROE AVE,PARK BLVD,MISSION AVE,"(32.759097, -117.1462621)","(32.759097, -117.1462621)",100,100,1600,1600,1600
MONROE AVE,MISSION AVE,TEXAS ST,"(32.7591017, -117.1431607)","(32.7591017, -117.1431607)",1500,1500,1500,1500,1500
MONROE AVE,TEXAS ST,30TH ST,"(32.759133, -117.1389031)","(32.759133, -117.1389031)",1600,1600,1700,1700,1700
MONROE AVE,44TH ST,ALDINE DR,"(32.7590909, -117.1000613)","(32.7590909, -117.1000613)",900,900,900,900,900
MONROE AVE,ALDINE DR,EUCLID AVE,"(32.7589302, -117.0935382)","(32.7589302, -117.0935382)",21000,21000,21000,21000,21000
MONROE AVE,EUCLID AVE,COLLWOOD BLVD,"(32.7590321, -117.0920838)","(32.7590321, -117.0920838)",5200,6400,6400,3700,6300
MONTEZUMA RD,FAIRMOUNT AVE,COLLWOOD BLVD,"(32.7754952, -117.0988545)","(32.7754952, -117.0988545)",47100,44000,45100,42300,45400
MONTEZUMA RD,COLLWOOD BLVD,54TH ST,"(32.770117, -117.0860717)","(32.770117, -117.0860717)",27900,27900,25800,25800,25400
MONTEZUMA RD,54TH ST,55TH ST,"(32.7710582, -117.0795036)","(32.7710582, -117.0795036)",28600,28600,26800,26800,22400
MONTEZUMA RD,55TH ST,CAMPANILE DR,"(32.7706454, -117.076248)","(32.7706454, -117.076248)",17300,17300,20000,20000,16400
MONTEZUMA RD,CAMPANILE DR,COLLEGE AVE,"(32.7707596, -117.0718396)","(32.7707596, -117.0718396)",27600,27600,25400,26200,19200
MONTEZUMA RD,COLLEGE AVE,63RD ST,"(32.770776, -117.0699017)","(32.770776, -117.0699017)",20500,20300,20100,14800,18500
MONTEZUMA RD,63RD ST,EL CAJON BLVD,"(32.770497, -117.0643533)","(32.770497, -117.0643533)",11600,11600,11700,11700,11500
MONTONGO ST,ACAMA ST,MIRA MESA BLVD,"(32.9264666, -117.1541167)","(32.9264666, -117.1541167)",4700,4700,4100,5200,5200
MONUMENT RD,HOLLISTER ST,DAIRY MART RD,"(32.5436274, -117.0840812)","(32.5436274, -117.0840812)",2100,2100,2100,2100,2100
MONUMENT RD,SATURN BLVD,HOLLISTER ST,"(32.5445181, -117.0927592)","(32.5445181, -117.0927592)",600,600,600,400,400
MONUMENT RD,BORDER FIELD STATE PARK,SATURN BLVD,"(32.54434, -117.1227283)","(32.54434, -117.1227283)",600,600,600,300,300
MORAGA AVE,CLAIREMONT MESA BLVD,BALBOA AVE,"(32.8286017, -117.213254)","(32.8286017, -117.213254)",11300,5600,5600,9900,9900
MOREHOUSE DR,SCRANTON RD,LUSK BLVD,"(32.8936979, -117.2016379)","(32.8936979, -117.2016379)",6500,6500,6500,6500,6500
MORENA BLVD,ARIANE DR,JUTLAND DR,"(32.8266594, -117.2303091)","(32.8266594, -117.2303091)",3900,3900,3900,3700,3700
MORENA BLVD,JUTLAND DR,AVATI DR,"(32.823757, -117.2286)","(32.823757, -117.2286)",17100,17500,17500,17500,17500
MORENA BLVD,AVATI DR,BALBOA AVE,"(32.813801, -117.217484)","(32.813801, -117.217484)",21500,21500,21500,21200,21200
MORENA BLVD,GESNER ST,CLAIREMONT DR,"(32.7919887, -117.2063645)","(32.7919887, -117.2063645)",10100,10100,10100,10100,10100
MORENA BLVD,CLAIREMONT DR,INGULF ST,"(32.7606416, -117.1978606)","(32.7606416, -117.1978606)",10800,10800,10800,11500,11500
MORENA BLVD,INGULF ST,MILTON ST,"(32.7895867, -117.2059746)","(32.7895867, -117.2059746)",13900,13900,13900,13900,13900
MORENA BLVD,MILTON ST,WEST MORENA BLVD,"(32.784855, -117.20668)","(32.784855, -117.20668)",14400,14900,14900,14900,14900
MORENA BLVD,WEST MORENA BLVD,KNOXVILLE ST,"(32.7758396, -117.2071986)","(32.7758396, -117.2071986)",8500,7800,7800,7800,7800
MORENA BLVD,KNOXVILLE ST,TECOLOTE RD,"(32.7732645, -117.203813)","(32.7732645, -117.203813)",15800,15800,15800,15500,15500
MORENA BLVD,TECOLOTE RD,WEST MORENA BLVD,"(32.7726124, -117.2027434)","(32.7726124, -117.2027434)",15900,15900,15900,15500,15500
MORENA BLVD,WEST MORENA BLVD,NAPA ST,"(32.7758396, -117.2071986)","(32.7758396, -117.2071986)",28600,28600,28600,30900,30900
MORENA BLVD,NAPA ST,LINDA VISTA RD,"(32.7657516, -117.1983687)","(32.7657516, -117.1983687)",19100,19100,19100,16300,17800
MORENA BLVD,LINDA VISTA RD,FRIARS RD,"(32.763982, -117.1980312)","(32.763982, -117.1980312)",36800,36800,36800,35200,35200
MORENA BLVD,FRIARS RD,INTERSTATE 8,"(32.7606416, -117.1978606)","(32.7606416, -117.1978606)",36800,36800,36800,35200,35200
MORENA BLVD,INTERSTATE 8,TAYLOR ST,"(32.7577268, -117.2047944)","(32.7577268, -117.2047944)",11500,11500,11500,9200,9200
MORLEY FIELD DR,PARK BLVD,FLORIDA DR,"(32.7402303, -117.1473312)","(32.7402303, -117.1473312)",5200,5200,4900,4900,4900
MORLEY FIELD DR/ALABAMA,FLORIDA DR,UPAS ST,"(34.6579735, -86.5681034)","(34.6579735, -86.5681034)",8800,8800,8900,8900,8900
MORNING CREEK DR N,SABRE SPRINGS PKWY,EVENING CREEK DR,"(32.9590395, -117.0934831)","(32.9590395, -117.0934831)",1300,1300,1300,1500,1500
MORNING CREEK DR S,EVENING CREEK DR,SABRE SPRINGS PKWY,"(32.9583807, -117.0903263)","(32.9583807, -117.0903263)",1400,1400,1400,1300,1300
MT ABERNATHY AVE,CANNINGTON DR,CHANDLER DR,"(32.8328108, -117.1712041)","(32.8328108, -117.1712041)",3500,3500,3500,2600,2600
MT ABERNATHY AVE,CHANDLER DR,CHATEAU DR,"(32.826031, -117.173092)","(32.826031, -117.173092)",5400,5400,5400,4700,4700
MT ABERNATHY AVE,CHATEAU DR,BALBOA ARMS DR,"(32.8226984, -117.1750132)","(32.8226984, -117.1750132)",8100,8100,8100,8000,8000
MT ABERNATHY AVE,BALBOA ARMS DR,BALBOA AVE,"(32.8216576, -117.1756723)","(32.8216576, -117.1756723)",9700,10700,10700,10700,10700
MT ACADIA BLVD,MT ALIFAN DR,FIELD ST,"(32.8165572, -117.1828045)","(32.8165572, -117.1828045)",8800,10300,10300,7600,8400
MT AGUILAR DR,PETIT ST/AUBURNDALE ST,MT ALIFAN DR,"(32.8168767, -117.1705977)","(32.8168767, -117.1705977)",5100,4600,4600,4400,5100
MT ALIFAN DR,BALBOA AVE,MT ABRAHAM AVE,"(32.8202281, -117.176057)","(32.8202281, -117.176057)",12900,12900,12900,12900,12900
MT ALIFAN DR,MT ABRAHAM AVE,MT AGUILAR DR,"(32.8197067, -117.176206)","(32.8197067, -117.176206)",13200,12400,11100,11100,11100
MT ALIFAN DR,MT AGUILAR DR,GENESEE AVE,"(32.8180813, -117.1776534)","(32.8180813, -117.1776534)",15300,15300,13700,13700,13700
MT ALIFAN DR,GENESEE AVE,MT ACADIA BLVD,"(32.8172788, -117.1807828)","(32.8172788, -117.1807828)",12200,12800,12800,12800,12800
MT ALIFAN DR,MT ACADIA BLVD,MT EVEREST BLVD,"(32.8165572, -117.1828045)","(32.8165572, -117.1828045)",4700,4700,4700,4600,4600
MT ALIFAN DR,MT EVEREST BLVD,MT TERMINUS DR,"(32.8162315, -117.1851886)","(32.8162315, -117.1851886)",1700,1700,1700,1700,1700
MT ARARAT DR,MT EVEREST BLVD,MT ARIANE DR,"(32.810302, -117.1862599)","(32.810302, -117.1862599)",2200,2200,2200,2200,2200
MT ETNA DR,MT HERBERT AVE,MT EVEREST BLVD,"(32.824142, -117.19371)","(32.824142, -117.19371)",3200,3200,3100,3500,3500
MT ETNA DR,MT EVEREST BLVD,GENESEE AVE,"(32.820908, -117.186127)","(32.820908, -117.186127)",5300,5300,4700,4700,4700
MT EVEREST BLVD,MT HARRIS DR,MT ETNA DR,"(32.823551, -117.185707)","(32.823551, -117.185707)",1600,1600,1300,1300,1300
MT EVEREST BLVD,MT ETNA DR,BALBOA AVE,"(32.820908, -117.186127)","(32.820908, -117.186127)",4800,4800,5300,4500,4000
MT EVEREST BLVD,BALBOA AVE,MT ALIFAN DR,"(32.8180993, -117.1854502)","(32.8180993, -117.1854502)",6200,6200,5700,5700,5700
MT EVEREST BLVD,MT ALIFAN DR,MT BLANCA DR,"(32.8162315, -117.1851886)","(32.8162315, -117.1851886)",5300,5300,5300,4500,4500
MT HERBERT AVE,GENESEE AVE,MT ETNA DR,"(32.8264269, -117.1906465)","(32.8264269, -117.1906465)",3800,3800,3800,2900,2900
MT HERBERT AVE,MT ETNA DR,MT HUBBARD AVE,"(32.824142, -117.19371)","(32.824142, -117.19371)",3400,3400,2500,2500,2500
MUNDA RD,ALLEGHENY ST,PARADISE VALLEY RD,"(32.681206, -117.060471)","(32.681206, -117.060471)",3900,4600,3300,3300,4100
MURPHY CANYON RD,CLAIREMONT MESA BLVD,AERO DR,"(32.8331547, -117.1212279)","(32.8331547, -117.1212279)",6700,11900,11900,12200,5700
MURPHY CANYON RD,AERO DR,STONECREST BLVD,"(32.8094805, -117.1166715)","(32.8094805, -117.1166715)",12500,12500,12500,12500,12500
MURPHY CANYON RD,STONECREST BLVD,I-15 ON-RAMP,"(32.8043203, -117.1139093)","(32.8043203, -117.1139093)",9800,9800,9800,9500,9500
MURRAY CANYON RD,METROPOLITAN RD,MISSION HEIGHTS RD,"(32.777056, -117.1582509)","(32.777056, -117.1582509)",4400,4400,4400,5400,5400
MURRAY CANYON RD,MISSION HEIGHTS RD,FRAZEE RD,"(32.7758031, -117.1579415)","(32.7758031, -117.1579415)",6000,5900,5900,5400,5400
MURRAY PARK,RIDGE MANOR AVE,PARK RIDGE BLVD,"(32.790468, -117.1465123)","(32.790468, -117.1465123)",3300,3300,3300,2900,2900
MURRAY RIDGE RD,SANDROCK RD,PINECREST AVE,"(32.8043698, -117.1400541)","(32.8043698, -117.1400541)",9500,8500,8500,8500,8500
MURRAY RIDGE RD,PINECREST AVE,MISSION CENTER RD,"(32.7981977, -117.1425446)","(32.7981977, -117.1425446)",13300,12800,12800,12800,12800
MURRAY RIDGE RD,MISSION CENTER RD,INTERSTATE 805,"(32.7897829, -117.1448508)","(32.7897829, -117.1448508)",16100,15900,15900,15900,15900
NANCY RIDGE DR,CARROLL CANYON RD,CARROLL RD,"(32.891851, -117.1923418)","(32.891851, -117.1923418)",2500,2500,2500,2500,2500
NAPA ST,MORENA BLVD,LINDA VISTA RD,"(32.7657516, -117.1983687)","(32.7657516, -117.1983687)",14400,14400,14400,14100,14900
NAPA ST,LINDA VISTA RD,FRIARS RD,"(32.7653161, -117.1970345)","(32.7653161, -117.1970345)",10900,11600,11600,11600,11600
NARRAGANSETT AVE,BACON ST,SUNSET CLIFFS BLVD,"(32.7451863, -117.2525212)","(32.7451863, -117.2525212)",2400,2400,4200,4200,4200
NARRAGANSETT AVE,SUNSET CLIFFS BLVD,SANTA BARBARA ST,"(32.7430483, -117.2490491)","(32.7430483, -117.2490491)",3000,3000,2900,2900,2900
NARRAGANSETT AVE,SANTA BARBARA ST,CATALINA BLVD,"(32.7387806, -117.2421203)","(32.7387806, -117.2421203)",4600,4600,4500,4500,4500
NARRAGANSETT AVE,CATALINA BLVD,CHATSWORTH BLVD,"(32.7367421, -117.2388075)","(32.7367421, -117.2388075)",3400,3400,3400,3400,3400
NATIONAL AVE,IMPERIAL AVE,SIGSBEE ST,"(32.70486500000001, -117.1518423)","(32.70486500000001, -117.1518423)",2700,2700,2800,2800,2800
NATIONAL AVE,SIGSBEE ST,CESAR CHAVEZ PKWY,"(32.702983, -117.1484095)","(32.702983, -117.1484095)",5100,5100,5100,5700,5900
NATIONAL AVE,CESAR CHAVEZ PKWY,CORONADO BRIDGE,"(32.7006603, -117.1450526)","(32.7006603, -117.1450526)",3500,3500,3500,3500,3500
NATIONAL AVE,CORONADO BRIDGE,SAMPSON ST,"(32.6992213, -117.14375)","(32.6992213, -117.14375)",3500,3500,3500,4000,3500
NATIONAL AVE,SAMPSON ST,INTERSTATE 5/27TH ST,"(32.69721630000001, -117.1400931)","(32.69721630000001, -117.1400931)",7800,7800,7800,7800,7800
NATIONAL AVE,INTERSTATE 5/27TH ST,28TH ST,"(32.6962146, -117.1136754)","(32.6962146, -117.1136754)",12600,12600,12600,12600,12600
NATIONAL AVE,28TH ST,30TH ST,"(32.6959255, -117.133973)","(32.6959255, -117.133973)",12600,14100,8300,10700,10700
NATIONAL AVE,30TH ST,32ND ST,"(32.6959525, -117.12948)","(32.6959525, -117.12948)",11700,11700,7900,9900,11100
NATIONAL AVE,32ND ST,ROUTE 15,"(32.6959781, -117.1253134)","(32.6959781, -117.1253134)",9700,9700,10000,10000,10000
NATIONAL AVE,ROUTE 15,38TH ST,"(32.6697738, -117.1046137)","(32.6697738, -117.1046137)",10800,10400,10400,10400,12000
NATIONAL AVE,38TH ST,43RD ST,"(32.69604, -117.112461)","(32.69604, -117.112461)",11000,11000,10600,10600,10600
NAUTILUS ST,LA JOLLA BLVD,FAY AVE,"(32.8318107, -117.276584)","(32.8318107, -117.276584)",6100,6100,5900,5900,5900
NAUTILUS ST,FAY AVE,WEST MUIRLANDS DR,"(32.8327563, -117.271291)","(32.8327563, -117.271291)",9000,10500,9200,9200,11700
NAUTILUS ST,WEST MUIRLANDS DR,MUIRLANDS DR,"(32.8328997, -117.2639708)","(32.8328997, -117.2639708)",14000,14000,13800,13800,13800
NAUTILUS ST,MUIRLANDS DR,LA JOLLA SCENIC DR,"(32.8331438, -117.2633344)","(32.8331438, -117.2633344)",10900,10900,10900,11200,11200
NAVAJO RD,WARING RD/COLLEGE AVE,PARK RIDGE BLVD,"(32.7937207, -117.0675461)","(32.7937207, -117.0675461)",16200,16200,16700,16700,16700
NAVAJO RD,PARK RIDGE BLVD,JACKSON DR,"(32.8018351, -117.0498704)","(32.8018351, -117.0498704)",15800,14500,14500,14500,15800
NAVAJO RD,JACKSON DR,GOLFCREST DR,"(32.803977, -117.0460172)","(32.803977, -117.0460172)",14200,14200,14200,13500,13500
NAVAJO RD,GOLFCREST DR,COWLES MOUNTAIN BLVD,"(32.8041453, -117.0380546)","(32.8041453, -117.0380546)",16000,16000,16000,17300,17300
NAVAJO RD,COWLES MOUNTAIN BLVD,BOULDER LAKE AVE,"(32.8031405, -117.02536)","(32.8031405, -117.02536)",15500,15500,15500,16100,16100
NAVAJO RD,BOULDER LAKE AVE,LAKE MURRAY BLVD,"(32.8033573, -117.0177408)","(32.8033573, -117.0177408)",20500,20500,20000,20400,20400
NAVAJO RD,LAKE MURRAY BLVD,FANITA DR,"(32.8030885, -117.0102893)","(32.8030885, -117.0102893)",37100,37100,37100,37100,37100
NEWPORT AVE,ABBOTT ST,BACON ST,"(32.747818, -117.252617)","(32.747818, -117.252617)",6400,6400,5300,5300,5300
NEWPORT AVE,BACON ST,CABLE ST,"(32.7468683, -117.2510786)","(32.7468683, -117.2510786)",5300,5300,5300,5300,5300
NEWPORT AVE,CABLE ST,SUNSET CLIFFS BLVD,"(32.7458016, -117.249336)","(32.7458016, -117.249336)",8200,8200,6200,6200,6200
NEWPORT AVE,SUNSET CLIFFS BLVD,VENICE ST,"(32.7447325, -117.2476001)","(32.7447325, -117.2476001)",2200,2200,2200,2200,2200
NEW SALEM ST,SUNNY MEADOW ST,PARKDALE AVE,"(32.914967, -117.161247)","(32.914967, -117.161247)",3600,3600,3600,3500,3500
NEW SALEM ST,PARKDALE AVE,CAMINO RUIZ,"(32.916191, -117.156548)","(32.916191, -117.156548)",5800,5800,7300,7300,7400
NEW SALEM ST,CAMINO RUIZ,MIRA MESA BLVD,"(32.9156905, -117.143996)","(32.9156905, -117.143996)",6100,6100,6100,5700,5500
NIAGARA AVE,BACON ST,SUNSET CLIFFS BLVD,"(32.7460316, -117.2517918)","(32.7460316, -117.2517918)",2000,2000,2000,1800,1800
NILE ST,THORN ST,LANDIS ST,"(32.7401169, -117.1190858)","(32.7401169, -117.1190858)",4300,4300,4300,4300,4300
NIMITZ BLVD,SUNSET CLIFFS BLVD,WEST POINT LOMA BLVD,"(32.7544664, -117.2362507)","(32.7544664, -117.2362507)",43800,43800,43800,47800,47800
NIMITZ BLVD,WEST POINT LOMA BLVD,FAMOSA BLVD,"(32.7512328, -117.2361134)","(32.7512328, -117.2361134)",36600,35400,35400,35400,36300
NIMITZ BLVD,FAMOSA BLVD,VOLTAIRE ST,"(32.7446425, -117.2335069)","(32.7446425, -117.2335069)",20800,20800,21900,21900,21900
NIMITZ BLVD,CHATSWORTH BLVD,EVERGREEN ST,"(32.737267, -117.2305981)","(32.737267, -117.2305981)",20000,20000,15900,15900,15900
NIMITZ BLVD,EVERGREEN ST,ROSECRANS ST,"(32.7297719, -117.2278567)","(32.7297719, -117.2278567)",20000,20000,20000,20000,20000
NIMITZ BLVD,ROSECRANS ST,NORTH HARBOR DR,"(32.7286056, -117.2257375)","(32.7286056, -117.2257375)",12900,12900,12900,12900,13400
NOBEL DR,VILLA LA JOLLA DR,INTERSTATE 5,"(32.8676267, -117.2333182)","(32.8676267, -117.2333182)",15000,15000,15000,15700,15700
NOBEL DR,INTERSTATE 5,REGENTS RD,"(32.8659658, -117.2294709)","(32.8659658, -117.2294709)",29100,29100,29100,29100,29100
NOBEL DR,REGENTS RD,GENESEE AVE,"(32.8676266, -117.2190701)","(32.8676266, -117.2190701)",22700,22700,22700,22400,21600
NOBEL DR,GENESEE AVE,TOWNE CENTRE DR,"(32.8669297, -117.2134939)","(32.8669297, -117.2134939)",18300,18300,18300,18500,18500
NOBEL DR,TOWNE CENTRE DR,SHORELINE DR,"(32.8654826, -117.20851)","(32.8654826, -117.20851)",12400,12400,12400,12800,12900
NOELL ST,PACIFIC HWY,HANCOCK ST,"(32.74226, -117.1875803)","(32.74226, -117.1875803)",2400,2400,2500,2500,2500
NOELL ST,HANCOCK ST,INTERSTATE 5,"(32.7435204, -117.1865697)","(32.7435204, -117.1865697)",2800,2800,3100,3100,3100
NOELL ST,INTERSTATE 5,SAN DIEGO AVE,"(32.826733, -117.1613933)","(32.826733, -117.1613933)",3700,3700,4200,4200,4200
NORMAL ST,EL CAJON BLVD,WASHINGTON ST,"(32.7551867, -117.1462665)","(32.7551867, -117.1462665)",24800,24100,24100,23700,21900
NORMAL ST,WASHINGTON ST,LINCOLN AVE,"(32.7528017, -117.1476379)","(32.7528017, -117.1476379)",2000,2100,2100,2100,1700
NORMAL ST,LINCOLN AVE,UNIVERSITY AVE,"(32.7510734, -117.1484487)","(32.7510734, -117.1484487)",4300,4300,3600,3600,3600
NORTH HARBOR DR,ROSECRANS ST,SCOTT ST,"(32.7262084, -117.2278524)","(32.7262084, -117.2278524)",7600,7600,7200,7200,8000
NORTH HARBOR DR,SCOTT ST,NIMITZ BLVD,"(32.7256894, -117.2267549)","(32.7256894, -117.2267549)",17000,17000,17000,16300,11800
NORTH HARBOR DR,NIMITZ BLVD,SPANISH LANDING,"(32.7257452, -117.2213802)","(32.7257452, -117.2213802)",28700,25400,25400,25400,19600
NORTH HARBOR DR,SPANISH LANDING,HARBOR ISLAND DR,"(32.7286751, -117.2116417)","(32.7286751, -117.2116417)",29500,29500,29500,29500,29500
NORTH HARBOR DR,HARBOR ISLAND DR,WINSHIP LN,"(32.7292629, -117.1950845)","(32.7292629, -117.1950845)",29800,29800,29800,29800,29800
NORTH HARBOR DR,WINSHIP LN,LAUREL ST,"(32.7292946, -117.1911058)","(32.7292946, -117.1911058)",88000,73300,84700,84700,81800
